지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
108,서울,2015-06-24,25.7,21.1,513,30.6,1346,,,,,,,9.2,250,1718,5.7,270,1724,2.5,2162,270,,,,,
108,서울,2015-06-25,24.8,21,2330,29.1,1407,6.33,0.5,2050,1.1,2033,2,6.3,90,2147,3.6,140,1348,2.1,1841,50,,,,,
108,서울,2015-06-26,21,18,418,25.3,1638,12.35,1.5,410,4,153,12.5,11.4,20,1006,5.6,50,451,3.3,2851,50,,,,,
108,서울,2015-06-27,25.2,19.2,544,31.1,1555,,,,,,,8.6,70,746,4.5,50,811,2.2,1909,50,,,,,
108,서울,2015-06-28,25.4,21,551,31.1,1402,,,,,,,8.9,250,1621,6.1,230,1439,2.6,2244,270,,,,,
108,서울,2015-06-29,25.7,21.2,525,30.6,1417,0.63,0,,0,,0,8.1,320,1433,5.4,250,1704,2.8,2408,270,,,,,
108,서울,2015-06-30,24.4,21.9,2031,29.2,1317,4.22,0.5,1815,2,1823,2.5,7.3,320,1619,4.8,320,1625,1.7,1429,270,,,,,
108,서울,2015-07-01,23.7,21,600,27.9,1349,0.33,0.5,4,0.5,4,0.5,13.2,250,1729,7.6,230,1524,3.8,3298,250,,,,,
108,서울,2015-07-02,23.7,20.4,505,29.3,1552,,,,,,,12.2,200,1553,6.9,230,1503,4,3451,230,,,,,
108,서울,2015-07-03,23.3,19.2,541,28.3,1340,,,,,,,11.3,250,1237,7,270,1423,3,2552,270,,,,,
108,서울,2015-07-04,24.1,18.2,523,29.9,1604,,,,,,,8,320,1641,4.9,230,1750,2.2,1914,50,,,,,
108,서울,2015-07-05,24.2,20.1,547,29.6,1256,,,,,,,7.8,270,1610,4.9,270,1618,2.3,1983,270,,,,,
108,서울,2015-07-06,25.3,20.2,532,32.5,1544,,,,,,,8.5,250,1641,5.3,270,1648,2.2,1884,270,,,,,
108,서울,2015-07-07,25.6,21.4,524,29.7,1441,,,,,,,7.3,50,1155,4.4,180,1435,2,1697,50,,,,,
108,서울,2015-07-08,23.4,20.7,458,26.3,1539,5.83,0.5,831,0.5,804,0.5,10.6,50,1653,6.2,70,1833,4,3474,70,,,,,
108,서울,2015-07-09,26.5,22.1,529,31.8,1350,,,,,,,8.2,110,830,4.9,90,839,2.9,2476,70,,,,,
108,서울,2015-07-10,29.2,23.6,422,34.3,1459,,,,,,,6.1,70,958,3.4,160,1152,1.9,1677,70,,,,,
108,서울,2015-07-11,30.4,25.7,525,36,1446,3.17,0,,0,,0,9.9,20,1835,4.8,270,1740,2.1,1822,50,,,,,
108,서울,2015-07-12,24.8,24,603,28,1,24,1.5,145,4,1110,29,9.9,70,1521,5.8,70,1448,4,3466,70,,,,,
108,서울,2015-07-13,23.1,21.4,1214,24.9,1823,14.08,1,234,2.5,144,10,14.4,270,1338,8,230,1048,5.2,4490,230,,,,,
108,서울,2015-07-14,26.1,22.5,428,31.4,1440,,,,,,,8.9,250,1502,6.4,230,1544,3.5,2996,230,,,,,
108,서울,2015-07-15,27.9,22.7,531,33.9,1645,,,,,,,11.5,70,2309,7.1,70,2353,2.9,2463,70,,,,,
108,서울,2015-07-16,24.7,20.6,2351,28.9,1539,,,,,,,12.6,50,1505,6.7,70,1,5,4297,70,,,,,
108,서울,2015-07-17,23.6,18.4,539,28.6,1521,,,,,,,9.3,20,110,5.8,70,125,3.6,3106,70,,,,,
108,서울,2015-07-18,24.3,22.3,516,27.8,1537,3.95,0.3,1806,0.5,1739,0.5,6.2,230,949,4.6,230,937,2.2,1917,70,,,,,
108,서울,2015-07-19,25.1,21.3,705,29.8,1633,8.33,1,235,2.5,145,5,6.1,20,1820,3.6,50,905,1.8,1584,50,,,,,
108,서울,2015-07-20,27.5,24.4,544,31.2,1226,,,,,,,5.9,50,1014,3.6,140,1427,2.4,2066,70,,,,,
108,서울,2015-07-21,27,24.6,829,29.6,1708,3.92,6.5,505,10.5,417,11,5,270,1424,3.4,270,1425,1.6,1403,270,,,,,
108,서울,2015-07-22,27.7,25.3,558,31.7,1544,2,0.5,1318,0.5,1228,1,6.6,250,1643,4.8,270,1652,1.8,1550,270,,,,,
108,서울,2015-07-23,26.9,24.9,2149,32.1,1342,7.83,5,1657,6,1615,16,8.5,230,2019,6.2,200,2024,2.1,1834,230,,,,,
108,서울,2015-07-24,24.7,22.6,948,25.4,27,19.58,2,412,7,347,26.5,8.9,200,601,5.8,230,607,2,1755,230,,,,,
108,서울,2015-07-25,25,24.4,18,26.4,1357,13.08,9.5,458,31,1635,80,10.3,270,1810,6.4,230,1834,3.2,2793,230,,,,,
108,서울,2015-07-26,26,23.5,705,30,1441,9.5,3.5,617,14,546,40.5,8.5,230,628,5.2,200,558,2.6,2209,230,,,,,
108,서울,2015-07-27,26.2,24.4,519,30,1717,6,1.1,358,1.5,312,1.5,6.4,290,1904,4.5,290,1909,2.3,1984,290,,,,,
108,서울,2015-07-28,27.7,24.6,431,31.2,1342,0.58,0,,0,,0,8.1,320,1500,5.4,270,1502,2.7,2350,250,,,,,
108,서울,2015-07-29,26.7,24.8,929,28.8,1752,4.28,1.5,831,3,737,4,8.2,200,635,5.7,200,642,2.6,2234,200,,,,,
108,서울,2015-07-30,28.6,25.5,359,33.1,1521,,,,,,,11.6,230,1527,7,230,1542,3.5,2998,230,,,,,
108,서울,2015-07-31,27.9,26.2,348,32.4,1405,,,,,,,9.2,230,1543,6.3,230,1548,2.7,2355,200,,,,,
108,서울,2015-08-01,28.2,26,338,31.6,1514,,,,,,,9.5,250,1606,6.4,230,1437,3.1,2676,230,,,,,
108,서울,2015-08-02,26.5,24.1,227,29.2,1609,4.67,11,205,14.5,145,16.5,12.5,250,203,7.3,250,211,2.7,2326,230,,,,,
108,서울,2015-08-03,27.9,25.6,550,31.5,1510,0.2,0,,0,,0,10.7,230,1559,7.2,250,1600,3.8,3276,200,,,,,
108,서울,2015-08-04,27.5,25.4,516,30.8,1540,,,,,,,11.5,200,1429,7.8,200,1314,4.5,3898,230,,,,,
108,서울,2015-08-05,28.6,25.9,748,32.7,1530,1.33,0.1,741,0.1,740,0.1,10.8,230,746,7.8,230,909,3.7,3210,230,,,,,
108,서울,2015-08-06,29.3,24.5,611,34.4,1422,,,,,,,6.7,290,1425,4.3,270,1432,2,1708,270,,,,,
108,서울,2015-08-07,28.9,26,1705,34.4,1453,2.2,2,1631,9,1540,11,8.7,360,1700,4.4,360,1701,1.4,1223,50,,,,,
108,서울,2015-08-08,26.6,24.3,1500,33,1241,1.43,3,1350,6,1351,7.5,14.2,320,1325,8.1,290,1330,2.1,1780,50,,,,,
108,서울,2015-08-09,26.7,23.3,548,31,1525,,,,,,,6.9,270,1834,4.9,290,1835,2.1,1793,20,,,,,
108,서울,2015-08-10,27,23.9,545,32,1535,,,,,,,7.2,290,1908,4.9,270,1908,2.3,2007,270,,,,,
108,서울,2015-08-11,26.8,24.5,335,30.6,1601,,,,,,,8.6,230,1711,5.9,200,1714,2.1,1816,270,,,,,
108,서울,2015-08-12,27.3,22.1,533,32.9,1540,,,,,,,6.9,270,1656,4.8,340,1955,2,1738,20,,,,,
108,서울,2015-08-13,26.5,23.9,545,31.1,1629,2.7,0,,0,,0,8.1,250,1703,5.4,270,1707,1.9,1636,50,,,,,
108,서울,2015-08-14,26.9,22.7,436,32.5,1436,,,,,,,7.7,270,1807,5,270,1807,2.4,2099,290,,,,,
108,서울,2015-08-15,27.1,23.1,559,30.8,1302,0.58,0.1,,0.1,,0.1,6.7,290,1611,4.1,290,1604,1.9,1666,50,,,,,
108,서울,2015-08-16,25.8,20.7,2351,31.2,1520,3.47,15.5,1850,21.5,1849,29,9.4,20,1811,4.7,70,2233,2,1719,50,,,,,
108,서울,2015-08-17,26.6,19.8,532,32.9,1547,,,,,,,7.2,50,2146,4.1,70,2352,2.2,1938,50,,,,,
108,서울,2015-08-18,27.9,24.1,555,32.2,1735,,,,,,,7.5,50,713,4.4,270,1836,2.5,2202,70,,,,,
108,서울,2015-08-19,26.8,24.2,543,29.7,1339,0.75,0,,0,,0,6.4,160,1341,3.7,270,1737,1.8,1533,50,,,,,
108,서울,2015-08-20,25.4,24.2,2340,28.1,1030,1.6,0.3,1110,0.4,1110,0.4,8.3,270,1121,5.5,270,1130,1.7,1509,50,,,,,
108,서울,2015-08-21,25.2,23,630,29.3,1645,6.75,2,437,2.3,354,2.5,6.6,290,1835,4.2,290,1905,2,1753,270,,,,,
108,서울,2015-08-22,25.5,23.4,636,29.6,1545,0.25,0,,0,,0,6.9,290,1609,4.3,250,1050,2.5,2121,230,,,,,
108,서울,2015-08-23,26.3,20.9,610,31.7,1405,,,,,,,5.5,320,1937,3.4,290,1431,1.7,1496,50,,,,,
108,서울,2015-08-24,26.3,23.3,546,30.3,1307,,,,,,,14,50,2024,7.7,70,2028,3.8,3285,70,,,,,
108,서울,2015-08-25,21.7,19.2,2359,24.5,1,16.3,0.5,856,1.5,1601,5.5,11.2,20,1025,5.3,70,35,3.2,2733,50,,,,,
108,서울,2015-08-26,21.9,18.9,204,25.3,1141,1.72,0,,0,,0,9.6,320,120,6.2,320,128,2.9,2469,320,,,,,
108,서울,2015-08-27,24.7,21.2,641,30,1557,0.75,0,,0,,0,8.5,200,5,5.2,230,6,3.1,2707,250,,,,,
108,서울,2015-08-28,23.2,19,539,28.1,1303,1.58,0.2,,0.3,1825,0.3,7.6,160,1444,4.3,180,1452,1.7,1436,50,,,,,
108,서울,2015-08-29,24.4,19,542,30.8,1512,,,,,,,6.8,250,1659,4.6,290,1833,1.7,1478,270,,,,,
108,서울,2015-08-30,24.9,19.9,621,31,1523,0.42,0,,0,,0,10.5,70,1725,5.3,360,1730,1.6,1404,20,,,,,
108,서울,2015-08-31,25.9,21,504,31.2,1406,,,,,,,7.7,70,2223,4.6,70,2228,1.9,1676,70,,,,,
108,서울,2015-09-01,25.9,22.6,559,30.7,1405,,,,,,,10.3,50,1404,5.3,70,1250,3.4,2942,70,,,,,
108,서울,2015-09-02,23.9,22,2353,27.7,1132,3.73,0.2,1334,0.4,1320,0.5,10.3,230,1329,6.7,230,1337,2.1,1855,70,,,,,
108,서울,2015-09-03,23.9,19.8,629,28.2,1604,2.75,12,342,16.5,252,18,9.1,290,1644,5.3,270,1830,2.3,1980,270,,,,,
108,서울,2015-09-04,24.8,20.6,553,30.7,1418,,,,,,,7.7,250,1530,5,250,1537,2.2,1943,270,,,,,
108,서울,2015-09-05,21.9,19.4,1045,23.6,1,3.7,1,1034,3,955,5,10.7,360,954,5.9,320,958,2.1,1857,70,,,,,
108,서울,2015-09-06,22.2,19.3,640,26.2,1153,,,,,,,12.7,70,1206,6.3,70,1416,3.7,3209,70,,,,,
108,서울,2015-09-07,22.6,16.8,622,28.7,1516,,,,,,,8.7,70,1336,4.5,50,928,2.4,2067,70,,,,,
108,서울,2015-09-08,22.7,16.2,632,28.9,1510,,,,,,,8.9,50,1806,5,70,2348,3.2,2784,70,,,,,
108,서울,2015-09-09,22.4,15.3,620,30.1,1548,,,,,,,11.8,50,2049,5.9,50,2046,2.9,2500,50,,,,,
108,서울,2015-09-10,22.4,17,559,28.4,1411,,,,,,,8.6,270,1555,5.3,270,1556,2.4,2103,270,,,,,
108,서울,2015-09-11,21,16.8,2113,24.4,1155,5.3,1,1908,2,1850,2.5,7.2,320,1835,4.4,270,1250,2.1,1850,270,,,,,
108,서울,2015-09-12,19.2,15.5,630,24,1511,,,,,,,7.5,270,1815,4.8,270,1829,1.9,1628,270,,,,,
108,서울,2015-09-13,20.2,15.2,614,26,1555,,,,,,,8.3,340,1436,4.9,270,1055,2.6,2281,290,,,,,
108,서울,2015-09-14,22.1,16.4,613,27.8,1507,,,,,,,6.2,290,2133,3.8,270,2015,1.6,1361,50,,,,,
108,서울,2015-09-15,22.8,17.4,517,28.7,1340,,,,,,,8.7,140,1404,3.8,70,1444,2.2,1869,50,,,,,
108,서울,2015-09-16,21.6,16,625,26.7,1420,,,,,,,8.2,70,2328,4.4,70,2310,2.5,2160,70,,,,,
108,서울,2015-09-17,21.4,15.5,643,27.6,1430,,,,,,,9.4,90,1049,5.1,70,1028,3.1,2713,70,,,,,
108,서울,2015-09-18,21.9,15.9,548,29.2,1448,,,,,,,7.8,50,1202,5.1,270,1822,2.4,2085,70,,,,,
108,서울,2015-09-19,22.3,17,649,29,1607,,,,,,,8.4,270,1658,5.4,270,1748,2.4,2068,270,,,,,
108,서울,2015-09-20,22.1,17.9,500,28.3,1323,,,,,,,7.4,290,1404,4.6,270,1452,2,1728,290,,,,,
108,서울,2015-09-21,22.6,16.5,624,29.4,1546,,,,,,,5.7,250,1525,4,250,1527,1.5,1337,20,,,,,
108,서울,2015-09-22,23.9,18,614,31,1520,,,,,,,6.9,160,1316,3.6,250,1540,1.8,1574,70,,,,,
108,서울,2015-09-23,22,19,620,26.1,1226,,,,,,,5.4,50,709,3.2,70,748,1.7,1477,50,,,,,
108,서울,2015-09-24,23.4,17.5,534,30.6,1546,,,,,,,7.4,90,1312,4.3,70,759,1.9,1654,20,,,,,
108,서울,2015-09-25,23.4,19,626,29.8,1538,,,,,,,6.4,230,1557,4.9,270,1751,2.5,2143,70,,,,,
108,서울,2015-09-26,22.4,17.9,707,28,1457,,,,,,,7.5,270,1541,4.3,290,1307,1.8,1533,270,,,,,
108,서울,2015-09-27,21.9,14.2,633,29.8,1520,,,,,,,6.4,270,1703,4.2,270,1659,1.9,1600,50,,,,,
108,서울,2015-09-28,21.4,15.5,648,28.3,1343,1.32,0,,0,,0,8.2,360,1634,4.8,340,1641,1.6,1369,90,,,,,
108,서울,2015-09-29,22.1,15.9,612,28.2,1510,,,,,,,9.5,90,1042,4.8,70,1000,2.3,2013,70,,,,,
108,서울,2015-09-30,21.3,19.4,704,26.2,1447,,,,,,,8.8,70,118,4.6,70,119,2.6,2258,90,,,,,
108,서울,2015-10-01,16.3,10.7,2343,19.7,119,9.78,5.5,1002,16.5,1108,35,14.8,270,2013,8.2,290,2017,3.6,3148,70,,,,,
108,서울,2015-10-02,16.5,8.6,524,21.5,1522,,,,,,,16,270,1529,8.6,250,1534,3.7,3229,230,,,,,
108,서울,2015-10-03,19.2,13.3,2346,24.5,1409,,,,,,,10.8,230,1513,6.5,270,1521,3.8,3293,230,,,,,
108,서울,2015-10-04,16.6,11.2,640,22.4,1506,,,,,,,6,290,1518,4.1,270,1518,1.8,1531,50,,,,,
108,서울,2015-10-05,18,11,645,25.6,1512,,,,,,,8.3,270,1332,4.9,250,1332,1.9,1679,20,,,,,
108,서울,2015-10-06,18.7,12.1,639,26.3,1404,,,,,,,7,250,1644,5,290,1913,1.9,1668,20,,,,,
108,서울,2015-10-07,19.6,14.1,641,25.7,1245,,,,,,,6.3,360,1700,3.5,320,1653,1.4,1245,290,,,,,
108,서울,2015-10-08,20.1,15.7,554,26.4,1509,,,,,,,8.3,250,2220,5.2,270,2228,2.3,2026,270,,,,,
108,서울,2015-10-09,16.2,12.8,709,20.5,1432,,,,,,,10.3,270,1206,6,270,1322,3.7,3230,270,,,,,
108,서울,2015-10-10,12.8,10.4,2347,17.2,1535,5.92,1,546,3,549,3.5,9.5,290,1557,5.3,200,17,2.2,1936,70,,,,,
108,서울,2015-10-11,10.8,8.1,618,14.4,1327,3.98,1.5,1630,2,1740,3.5,11.5,320,1632,6.1,230,1344,2.4,2108,230,,,,,
108,서울,2015-10-12,12.3,8.2,651,17.9,1437,,,,,,,12.4,270,1442,7.1,250,1446,2.7,2290,290,,,,,
108,서울,2015-10-13,15,7.8,638,21.3,1344,,,,,,,10,250,1301,6.7,270,1309,2.5,2199,250,,,,,
108,서울,2015-10-14,17.1,10.9,658,24.5,1437,,,,,,,5.7,250,1650,3.7,270,1651,1.6,1352,290,,,,,
108,서울,2015-10-15,17.9,12.1,635,26.1,1537,,,,,,,6,290,1814,4.2,250,1717,1.8,1533,50,,,,,
108,서울,2015-10-16,17.5,13.2,647,24.2,1505,,,,,,,6.1,320,1704,4,290,1706,1.8,1587,270,,,,,
108,서울,2015-10-17,18.7,12.4,648,26.6,1519,,,,,,,5.9,270,1524,4.3,270,1441,1.7,1494,50,,,,,
108,서울,2015-10-18,17.9,12.4,705,24.2,1301,,,,,,,5.7,200,1241,3.8,250,1312,1.3,1124,270,,,,,
108,서울,2015-10-19,18.1,13.6,509,23.9,1442,,,,,,,5.8,290,1626,4,290,1629,2,1696,70,,,,,
108,서울,2015-10-20,18.8,15.4,238,25.1,1435,,,,,,,5.8,270,1749,4.1,270,1750,1.6,1423,270,,,,,
108,서울,2015-10-21,17.9,13.9,614,22.7,1459,,,,,,,6,340,1328,3.8,290,1423,1.6,1380,270,,,,,
108,서울,2015-10-22,17.5,14.5,308,23.1,1441,,,,,,,8,50,853,4.3,70,907,2.2,1879,70,,,,,
108,서울,2015-10-23,17.5,15.2,1,21.4,1434,,,,,,,8.7,230,1355,4.9,200,1518,2.4,2094,230,,,,,
108,서울,2015-10-24,16.9,13.2,2344,22,1540,1.87,5.5,549,10.5,507,10.5,8.6,290,1143,4.9,290,1143,2.5,2157,320,,,,,
108,서울,2015-10-25,16.3,12.1,640,22.8,1446,,,,,,,6.6,50,238,4.2,50,226,2.1,1814,70,,,,,
108,서울,2015-10-26,15,12,253,18.7,1324,5.8,0.5,1733,1,2207,2,8,140,925,4.6,230,1946,2.4,2048,70,,,,,
108,서울,2015-10-27,12.1,7.7,2351,15.9,1409,0.07,2,29,4.5,328,26.5,10.8,290,1637,6.7,270,1644,3.2,2805,290,,,,,
108,서울,2015-10-28,9.9,5.6,703,15.8,1546,,,,,,,10.9,270,1636,5.9,270,1425,2.5,2148,270,,,,,
108,서울,2015-10-29,8.4,3.2,713,14.7,1404,2.08,0.5,1844,0.5,1835,0.5,12,270,1554,7.1,250,1558,2.4,2070,250,,,,,
108,서울,2015-10-30,5.4,1.7,742,10.4,1505,,,,,,,10.5,270,1606,6.8,270,1411,2.6,2248,290,,,,,
108,서울,2015-10-31,5.7,1.1,528,12.3,1521,,,,,,,8,290,941,5.2,320,942,2.1,1779,290,,,,,
108,서울,2015-11-01,7,1.3,449,12.6,1439,,,,,,,5.2,70,1051,3.4,270,1458,1.6,1360,50,,,,,
108,서울,2015-11-02,10.8,6.1,718,15.2,1526,,,,,,,8.5,270,1422,5.2,270,1411,1.6,1361,250,,,,,
108,서울,2015-11-03,11.8,6.6,733,18.7,1503,,,,,,,6.3,270,1352,3.5,250,1248,1.4,1225,290,,,,,
108,서울,2015-11-04,12.2,5.8,654,19.8,1458,,,,,,,5.3,290,1546,3,270,1634,1.6,1416,270,,,,,
108,서울,2015-11-05,13.2,8.6,728,19.2,1351,,,,,,,7.4,270,1453,4.5,270,1405,1.7,1467,20,,,,,
108,서울,2015-11-06,13.5,9.6,2334,19.2,1305,7.62,,,,,4.5,13.2,90,1110,7.7,70,1758,4.7,4040,70,,,,,
108,서울,2015-11-07,10.5,9.3,249,11.7,2246,24,,,,,24.5,12.3,70,1506,7.3,70,1129,6,5168,70,,,,,
108,서울,2015-11-08,11.1,10.3,2333,11.8,1225,22.67,,,,,10.5,11.5,70,958,7.5,70,1009,5.2,4468,70,,,,,
108,서울,2015-11-09,10.8,9.8,654,12.1,1515,7.42,,,,,3.5,6.3,290,1633,3.9,290,2002,2.1,1782,290,,,,,
108,서울,2015-11-10,10,7.7,744,13.5,1624,,,,,,,5.6,360,6,4,290,237,1.8,1537,270,,,,,
108,서울,2015-11-11,11.6,6.6,611,17.7,1350,,,,,,,6.3,50,2356,4.1,70,2334,1.6,1356,70,,,,,
108,서울,2015-11-12,14.5,10.2,404,21,1422,,,,,,,7.3,70,211,4.5,70,857,2.8,2425,70,,,,,
108,서울,2015-11-13,11.5,10.5,2000,13.1,910,14.67,,,,,22.5,9.4,50,1948,5.9,70,1524,4,3418,70,,,,,
108,서울,2015-11-14,12.8,11,1,14.2,1433,15.33,,,,,3.5,6.3,70,139,3.9,70,14,1.4,1239,70,,,,,
108,서울,2015-11-15,13.4,10.6,747,17.2,1400,,,,,,,6.2,270,1247,3.9,270,1250,1.8,1528,270,,,,,
108,서울,2015-11-16,12.2,10.7,337,14,1446,10.42,,,,,5.5,6.9,50,2055,5.1,70,2046,2.8,2435,70,,,,,
108,서울,2015-11-17,13.9,11,655,19.3,1514,,,,,,,7.4,360,1150,4.6,290,1409,1.8,1567,290,,,,,
108,서울,2015-11-18,10.4,8.4,2211,12.6,834,10.83,,,,,5.5,11.8,50,1650,7.2,70,1731,5.1,4437,70,,,,,
108,서울,2015-11-19,8.9,6.7,518,10.8,1428,,,,,,,7.8,70,4,5.2,70,5,2.6,2270,70,,,,,
108,서울,2015-11-20,9.8,7.1,452,14.4,1345,,,,,,,6.9,290,1845,4.5,320,2206,1.5,1274,320,,,,,
108,서울,2015-11-21,9.2,5,726,15.4,1451,,,,,,,6.9,290,1642,4.6,290,1646,1.8,1529,290,,,,,
108,서울,2015-11-22,10.2,5.9,635,15.7,1315,5.67,,,,,3.5,8.6,50,2203,5.9,70,2230,2.4,2079,70,,,,,
108,서울,2015-11-23,8.5,6.5,2357,11,1438,8.67,,,,,6.5,8.9,70,843,5.7,70,840,3.3,2832,70,,,,,
108,서울,2015-11-24,5.6,2.7,645,8.8,1614,1.72,,,,,0.5,9,320,23,5.7,70,1938,3.1,2660,70,,,,,
108,서울,2015-11-25,2.4,0.9,2355,5.3,1,16.25,,,,,11,8.1,290,2356,5.5,70,146,2.7,2313,70,,,,,
108,서울,2015-11-26,-2.7,-4.8,2400,0.9,1,3.7,,,,,0,10.2,290,712,6.2,290,1226,3.7,3204,290,,,,,
108,서울,2015-11-27,-2.8,-7.3,606,2,1423,,,,,,,10,290,1321,5.8,290,1326,2.6,2262,290,,,,,
108,서울,2015-11-28,0.1,-2.7,1,2.6,1528,3.92,,,,,0.1,5.8,50,2358,3.8,50,713,2.1,1780,50,,,,,
108,서울,2015-11-29,2.5,1,1,3.9,2250,13.38,,,,,3,6.8,70,836,4.7,70,859,3.3,2839,70,,,,,
108,서울,2015-11-30,4.1,0.9,2343,8.5,1523,,,,,,,6.6,270,1217,4.3,290,1217,2,1686,290,,,,,
108,서울,2015-12-01,4,-1.3,717,10.4,1541,,,,,,,6,50,1012,3.8,70,1012,1.9,1647,50,,,,,
108,서울,2015-12-02,6,2.9,2309,8.5,1126,9,,,,,13.5,16.8,320,2256,7,290,2301,3.2,2737,270,,,,,
108,서울,2015-12-03,-0.7,-3.2,2357,3.3,1,12.17,,,,,7.1,14.4,320,1907,8,320,1718,4.1,3535,270,6.5,1115,6.5,1115,6.5
108,서울,2015-12-04,-0.4,-4.4,738,3.1,1643,,,,,,,9.9,290,19,5.3,320,22,2.8,2388,270,,,,,
108,서울,2015-12-05,3.4,0.6,2312,7.2,1331,,,,,,,10.8,290,1015,6.7,290,1125,3.1,2718,250,,,,,
108,서울,2015-12-06,1.3,-2,800,7.8,1545,,,,,,,4.5,70,1835,3.1,340,2,1.2,1066,290,,,,,
108,서울,2015-12-07,1.9,-3.4,659,6.7,1514,,,,,,,6,290,1315,4.3,290,1317,1.8,1528,290,,,,,
108,서울,2015-12-08,2.9,-1.4,716,9.6,1418,,,,,,,4.7,50,1101,2.6,250,1404,1.3,1106,290,,,,,
108,서울,2015-12-09,5,-0.8,602,10.9,1520,,,,,,,5.9,70,928,3.8,70,918,2.3,1955,110,,,,,
108,서울,2015-12-10,7.8,5.8,2355,9.2,1327,6.83,,,,,0.3,5.6,110,708,3.9,110,402,2.3,1965,110,,,,,
108,서울,2015-12-11,6.4,3.3,512,12.2,1345,,,,,,,10.6,70,2342,6.6,70,2349,3.4,2933,70,,,,,
108,서울,2015-12-12,5.2,1.1,738,11,1519,,,,,,,10,90,1,6.4,70,9,2.6,2268,20,,,,,
108,서울,2015-12-13,5.2,0.9,802,12.2,1440,,,,,,,5,20,1732,3.3,20,1615,1.4,1213,20,,,,,
108,서울,2015-12-14,5,2.6,45,6.4,1214,12.45,,,,,2.5,5.9,270,2246,3.8,50,1749,2.2,1927,20,,,,,
108,서울,2015-12-15,4.7,2,2349,8.2,1503,0.65,,,,,0.1,10.7,290,1426,6.3,290,1435,2.8,2407,270,,,,,
108,서울,2015-12-16,-1,-5,2351,2.8,1259,,,,,,,12.3,360,1902,6.6,360,1342,3.9,3353,20,,,,,
108,서울,2015-12-17,-4.6,-7.4,752,-0.4,1522,,,,,,,8.9,360,102,5.3,340,929,2.7,2366,50,,,,,
108,서울,2015-12-18,-3.3,-7,556,-1,2035,0.42,,,,,0,6.4,110,1012,4,110,1037,2.2,1914,110,,,,,
108,서울,2015-12-19,-0.1,-4.6,746,6.8,1502,,,,,,,5.2,90,1012,3,90,1026,1.7,1471,140,,,,,
108,서울,2015-12-20,1.5,-3.4,739,6,1530,,,,,,,4.6,90,2342,2.9,90,2345,1.5,1274,90,,,,,
108,서울,2015-12-21,2.2,-0.2,2355,5,1514,4.67,,,,,2,6.1,110,831,4.4,110,838,2.5,2196,110,,,,,
108,서울,2015-12-22,3.1,-1.5,746,7.7,1417,,,,,,,7.5,110,553,4.3,90,559,2.4,2042,110,,,,,
108,서울,2015-12-23,5.9,2.9,2400,10.6,1518,6.98,,,,,0.4,6,50,1440,4.2,50,1448,2.1,1788,160,,,,,
108,서울,2015-12-24,1.5,-1.6,2355,5.3,1418,,,,,,,7.4,290,1435,4.8,290,1448,2.3,1963,270,,,,,
108,서울,2015-12-25,-0.8,-4.9,801,3.7,1451,1.83,,,,,0,6.8,270,1418,4.2,270,1155,2,1705,270,0.2,2400,0.2,2400,0.2
108,서울,2015-12-26,0.9,-3.2,2357,4.7,1131,3.33,,,,,0.7,8.1,50,1724,5.2,360,2251,2.4,2065,70,0.8,55,1,55,0.8
108,서울,2015-12-27,-5.7,-8.9,751,-1,1505,,,,,,,7.4,20,548,5.2,20,552,2.9,2499,360,,,,,
108,서울,2015-12-28,-5.7,-9.5,631,-1,1558,,,,,,,9.1,70,1054,5.5,70,1103,2.3,2007,70,,,,,
108,서울,2015-12-29,-3.2,-8.7,739,2.9,1549,,,,,,,5,90,710,3.2,110,2131,1.4,1247,70,,,,,
108,서울,2015-12-30,0.3,-3.5,608,4.3,1425,3.75,,,,,2.5,6.4,270,1646,4.1,160,714,2.5,2177,160,,,,,
108,서울,2015-12-31,0.7,-1.9,2358,2.8,1543,,,,,,,5.2,90,348,3.3,20,1020,1.5,1339,50,,,,,
