"YYYYMMDD(운행일자)","BUS_ID(노선ID)","BUS_NM(노선)","STATION_ID(정류장ID)","STATION_NM(정류장)","TIME(승차시간구분)","HALF_HOUR(시간구간ID)","PASSN_GETON(승차총승객수)","PASSN_GETOFF(하차총승객수)"
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","08:00:00~08:59:59","30",0,18
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","09:00:00~09:59:59","00",0,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","09:00:00~09:59:59","30",3,8
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","10:00:00~10:59:59","00",0,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","10:00:00~10:59:59","30",1,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","11:00:00~11:59:59","00",2,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","11:00:00~11:59:59","30",1,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","12:00:00~12:59:59","00",3,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","12:00:00~12:59:59","30",5,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","13:00:00~13:59:59","00",3,4
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","13:00:00~13:59:59","30",2,7
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","14:00:00~14:59:59","00",1,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","14:00:00~14:59:59","30",4,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","15:00:00~15:59:59","00",4,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","15:00:00~15:59:59","30",6,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","16:00:00~16:59:59","00",2,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","16:00:00~16:59:59","30",6,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","17:00:00~17:59:59","00",6,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","17:00:00~17:59:59","30",4,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","18:00:00~18:59:59","00",10,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","18:00:00~18:59:59","30",2,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","19:00:00~19:59:59","00",11,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","19:00:00~19:59:59","30",7,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","20:00:00~20:59:59","00",8,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","20:00:00~20:59:59","30",10,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","21:00:00~21:59:59","00",4,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","21:00:00~21:59:59","30",17,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","22:00:00~22:59:59","00",9,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","22:00:00~22:59:59","30",5,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","23:00:00~23:59:59","00",6,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008839","을지로입구.로얄호텔","23:00:00~23:59:59","30",11,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","00:00:00~00:59:59","00",3,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","05:00:00~05:59:59","30",2,4
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","06:00:00~06:59:59","00",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","06:00:00~06:59:59","30",3,6
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","07:00:00~07:59:59","00",1,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","07:00:00~07:59:59","30",9,12
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","08:00:00~08:59:59","00",6,7
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","08:00:00~08:59:59","30",13,19
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","09:00:00~09:59:59","00",3,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","09:00:00~09:59:59","30",1,7
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","10:00:00~10:59:59","00",3,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","10:00:00~10:59:59","30",3,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","11:00:00~11:59:59","00",2,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","11:00:00~11:59:59","30",2,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","12:00:00~12:59:59","00",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","12:00:00~12:59:59","30",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","13:00:00~13:59:59","00",4,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","13:00:00~13:59:59","30",3,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","14:00:00~14:59:59","00",3,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","14:00:00~14:59:59","30",3,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","15:00:00~15:59:59","00",5,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","15:00:00~15:59:59","30",4,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","16:00:00~16:59:59","00",4,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","16:00:00~16:59:59","30",5,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","17:00:00~17:59:59","00",2,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","17:00:00~17:59:59","30",5,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","18:00:00~18:59:59","00",14,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","18:00:00~18:59:59","30",4,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","19:00:00~19:59:59","00",3,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","19:00:00~19:59:59","30",1,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","20:00:00~20:59:59","00",7,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","20:00:00~20:59:59","30",8,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","21:00:00~21:59:59","00",3,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","21:00:00~21:59:59","30",4,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","22:00:00~22:59:59","00",5,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","22:00:00~22:59:59","30",4,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","23:00:00~23:59:59","00",7,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008864","을지로2가.파인에빈뉴","23:00:00~23:59:59","30",5,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","06:00:00~06:59:59","30",1,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","07:00:00~07:59:59","00",1,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","07:00:00~07:59:59","30",1,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","08:00:00~08:59:59","30",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","09:00:00~09:59:59","00",1,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","09:00:00~09:59:59","30",3,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","10:00:00~10:59:59","00",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","10:00:00~10:59:59","30",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","13:00:00~13:59:59","00",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","14:00:00~14:59:59","30",0,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","15:00:00~15:59:59","00",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","16:00:00~16:59:59","00",1,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","16:00:00~16:59:59","30",1,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","18:00:00~18:59:59","00",0,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","18:00:00~18:59:59","30",2,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","19:00:00~19:59:59","30",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","20:00:00~20:59:59","00",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","21:00:00~21:59:59","30",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","23:00:00~23:59:59","00",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008878","서빙고역교차로","23:00:00~23:59:59","30",0,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","04:00:00~04:59:59","30",1,17
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","05:00:00~05:59:59","00",0,14
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","05:00:00~05:59:59","30",1,11
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","06:00:00~06:59:59","00",0,8
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","06:00:00~06:59:59","30",1,11
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","07:00:00~07:59:59","00",0,15
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","07:00:00~07:59:59","30",0,16
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","08:00:00~08:59:59","00",1,30
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","08:00:00~08:59:59","30",0,31
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","09:00:00~09:59:59","00",0,11
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","09:00:00~09:59:59","30",1,22
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","10:00:00~10:59:59","00",1,8
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","10:00:00~10:59:59","30",4,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","11:00:00~11:59:59","00",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","11:00:00~11:59:59","30",1,12
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","12:00:00~12:59:59","00",3,10
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","12:00:00~12:59:59","30",1,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","13:00:00~13:59:59","00",4,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","13:00:00~13:59:59","30",1,9
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","14:00:00~14:59:59","00",2,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","14:00:00~14:59:59","30",8,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","15:00:00~15:59:59","00",3,6
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","15:00:00~15:59:59","30",3,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","16:00:00~16:59:59","00",10,6
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","16:00:00~16:59:59","30",4,4
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","17:00:00~17:59:59","00",6,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","17:00:00~17:59:59","30",2,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","18:00:00~18:59:59","00",4,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","18:00:00~18:59:59","30",5,7
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","19:00:00~19:59:59","00",9,10
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","19:00:00~19:59:59","30",8,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","20:00:00~20:59:59","00",2,4
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","20:00:00~20:59:59","30",1,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","21:00:00~21:59:59","00",2,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","21:00:00~21:59:59","30",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","22:00:00~22:59:59","00",4,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","22:00:00~22:59:59","30",0,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","23:00:00~23:59:59","00",5,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008881","을지로3가","23:00:00~23:59:59","30",2,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","00:00:00~00:59:59","30",1,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","05:00:00~05:59:59","30",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","06:00:00~06:59:59","30",0,4
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","07:00:00~07:59:59","30",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","08:00:00~08:59:59","00",3,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","08:00:00~08:59:59","30",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","09:00:00~09:59:59","00",2,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","09:00:00~09:59:59","30",1,4
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","10:00:00~10:59:59","00",0,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","10:00:00~10:59:59","30",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","11:00:00~11:59:59","00",2,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","11:00:00~11:59:59","30",0,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","12:00:00~12:59:59","00",1,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","12:00:00~12:59:59","30",0,4
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","13:00:00~13:59:59","00",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","13:00:00~13:59:59","30",1,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","14:00:00~14:59:59","00",0,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","14:00:00~14:59:59","30",1,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","15:00:00~15:59:59","00",3,3
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","15:00:00~15:59:59","30",2,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","16:00:00~16:59:59","00",2,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","16:00:00~16:59:59","30",3,5
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","17:00:00~17:59:59","00",3,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","17:00:00~17:59:59","30",2,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","18:00:00~18:59:59","00",4,0
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","18:00:00~18:59:59","30",3,1
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","19:00:00~19:59:59","00",6,2
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","19:00:00~19:59:59","30",2,4
"2015-10-01","11110001","100번(하계동~용산구청)","0008890","을지로3가","20:00:00~20:59:59","00",3,0
